topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,paraphrased_question,yes_question,no_question,multiple_choice_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,Hungary,head of state,Tamás Sulyok,Who is the head of state of Hungary?,Katalin Novák,0.0,Who holds the position of head of state in Hungary?,Is Tamás Sulyok the head of state of Hungary?,Is Katalin Novák the head of state of Hungary?,"{'question': 'Who is the head of state of Hungary?', 'options': {'A': 'Tamás Sulyok', 'B': 'Katalin Novák', 'C': 'Viktor Orbán', 'D': 'János Áder'}, 'ground_truth': 'A'}",What is the capital city of Hungary?,Of which country is Tamás Sulyok the head of state?,Who is the spouse of the head of state of Hungary?,Anita Herczegh,What is the profession of the spouse of the head of state of Hungary?,Judge,Which court does the spouse of the head of state of Hungary serve as a judge?,Constitutional Court of Hungary,In which city is the Constitutional Court of Hungary located where the spouse of the head of state serves as a judge?,Budapest,In which country is the city located where the Constitutional Court of Hungary is situated?,Hungary
places_country,Uzbekistan,head of government,Abdulla Nigmatovich Aripov,Who is the head of government of Uzbekistan?,Shavkat Mirziyoyev,0.0,Who serves as the head of government in Uzbekistan?,Is Abdulla Nigmatovich Aripov the head of government of Uzbekistan?,Is Shavkat Mirziyoyev the head of government of Uzbekistan?,"{'question': 'Who is the head of government of Uzbekistan?', 'options': {'A': 'Abdulla Nigmatovich Aripov', 'B': 'Shavkat Mirziyoyev', 'C': 'Islam Karimov', 'D': 'Rustam Azimov'}, 'ground_truth': 'A'}",What is the capital city of Uzbekistan?,Which country has Abdulla Nigmatovich Aripov as its head of government?,Who is the spouse of the head of government of Uzbekistan?,Ziroatkhon Hoshimova,Which university did the spouse of the head of government of Uzbekistan attend for their undergraduate studies?,Tashkent State University of Economics,In which city is the university that the spouse of the head of government of Uzbekistan attended located?,Tashkent,In which region is the city located where the university that the spouse of the head of government of Uzbekistan attended is situated?,Tashkent Region,In which country is the region located where the city is situated that contains the university the spouse of the head of government of Uzbekistan attended?,Uzbekistan
places_country,Romania,geography of topic,geography of Romania,What is the geography of topic of Romania?,Mountainous,0.0,Can you describe the geography of Romania?,Is the geography of topic of Romania the geography of Romania?,Is the geography of topic of Romania mountainous?,"{'question': 'What is the geography of topic of Romania?', 'options': {'A': 'Mountainous', 'B': 'Geography of Romania', 'C': 'Desert', 'D': 'Tropical'}, 'ground_truth': 'B'}",What is the capital city of Romania?,What country has the geography of Romania?,What is the capital city of Romania?,Bucharest,Which river flows through the capital city of Romania?,Dâmbovița River,Into which larger river does the Dâmbovița River flow?,Argeș River,Which major river does the Argeș River eventually flow into?,Danube River,Into which sea does the Danube River ultimately flow?,Black Sea
places_country,Slovakia,public holiday,Christmas,When is the public holiday of Slovakia?,"January 1, March 29, May 1, May 8,",0.0,What is the public holiday celebrated in Slovakia?,Is Christmas a public holiday in Slovakia?,Is January 1 a public holiday in Slovakia?,"{'question': 'Which of the following is a public holiday in Slovakia?', 'options': {'A': 'Christmas', 'B': 'January 1', 'C': 'March 29', 'D': 'May 1'}, 'ground_truth': 'A'}",What is the capital city of Slovakia?,In which country is Christmas a public holiday?,What is a traditional food eaten during a public holiday in Slovakia?,Bryndzové halušky,What is the main ingredient in the traditional Slovak dish Bryndzové halušky?,Sheep cheese,Which animal provides the cheese used in the traditional Slovak dish Bryndzové halušky?,Sheep,What is the primary diet of the animal that provides the cheese used in the traditional Slovak dish Bryndzové halušky?,Grass,In which type of ecosystem is the primary diet of the animal that provides the cheese used in the traditional Slovak dish Bryndzové halušky commonly found?,Grassland
places_country,Togo,head of state,Faure Essozimna Gnassingbé,Who is the head of state of Togo?,Faure Gnassingbé,0.0,Who serves as the head of state in Togo?,Is Faure Essozimna Gnassingbé the head of state of Togo?,Is Faure Gnassingbé the head of state of Togo?,"{'question': 'Who is the head of state of Togo?', 'options': {'A': 'Faure Essozimna Gnassingbé', 'B': 'Faure Gnassingbé', 'C': 'John Doe', 'D': 'Kofi Annan'}, 'ground_truth': 'A'}",What is the capital city of Togo?,Which country has Faure Essozimna Gnassingbé as its head of state?,Who is the spouse of the head of state of Togo?,Claudine Gbassa,What is the profession of the spouse of the head of state of Togo?,Pharmacist,Which university did the spouse of the head of state of Togo attend?,University of Lomé,In which city is the university located that the spouse of the head of state of Togo attended?,Lomé,In which country is the city located where the university that the spouse of the head of state of Togo attended is situated?,Togo
places_country,Tajikistan,railway traffic side,right,What is the railway traffic side of Tajikistan?,Tajikistan Railways,0.0,On which side does railway traffic operate in Tajikistan?,Is the railway traffic side of Tajikistan the right?,Is the railway traffic side of Tajikistan the left?,"{'question': 'What is the railway traffic side of Tajikistan?', 'options': {'A': 'left', 'B': 'right', 'C': 'center', 'D': 'Tajikistan Railways'}, 'ground_truth': 'B'}",What is the capital city of Tajikistan?,In which country is the railway traffic side the right?,Which country has the same railway traffic side as Tajikistan?,Russia,What is the capital city of the country that has the same railway traffic side as Tajikistan?,Moscow,Which river flows through the capital city of the country that has the same railway traffic side as Tajikistan?,Moskva River,What is the length of the river that flows through the capital city of the country that has the same railway traffic side as Tajikistan?,502 kilometers,Into which larger body of water does the river that flows through the capital city of the country with the same railway traffic side as Tajikistan eventually drain?,Oka River
places_country,Brazil,history of topic,history of Brazil,What is the history of topic of Brazil?,"Indigenous, Portuguese colonization, Empire, Republic",0.0,Can you tell me about the history of Brazil?,Is the history of topic of Brazil the history of Brazil?,Is the history of topic of Brazil Indigenous?,"{'question': 'What is the history of topic of Brazil?', 'options': {'A': 'Indigenous', 'B': 'Portuguese colonization', 'C': 'Empire', 'D': 'history of Brazil'}, 'ground_truth': 'D'}",What is the capital city of Brazil?,What country has the history of Brazil as its history of topic?,Who was the first emperor in the history of Brazil?,Dom Pedro I,Which country did the first emperor in the history of Brazil declare independence from?,Portugal,In which year did the first emperor in the history of Brazil declare independence from Portugal?,1822,What was the name of the event in which the first emperor in the history of Brazil declared independence from Portugal in 1822?,Cry of Ipiranga,"In which city did the event known as the Cry of Ipiranga, where the first emperor in the history of Brazil declared independence from Portugal in 1822, take place?",São Paulo
places_country,State of Palestine,head of government,Mohammad Shtayyeh,Who is the head of government of State of Palestine?,Mohammed Shtayyeh,0.0,Who serves as the head of government for the State of Palestine?,Is Mohammad Shtayyeh the head of government of the State of Palestine?,Is Mohammed Shtayyeh the head of government of the State of Palestine?,"{'question': 'Who is the head of government of the State of Palestine?', 'options': {'A': 'Mohammad Shtayyeh', 'B': 'Mahmoud Abbas', 'C': 'Ismail Haniyeh', 'D': 'Mohammed Shtayyeh'}, 'ground_truth': 'A'}",What is the capital city of the State of Palestine?,Which country does Mohammad Shtayyeh serve as the head of government?,Who is the spouse of the head of government of the State of Palestine?,Emine Erdoğan,Which university did the spouse of the head of government of the State of Palestine attend for their undergraduate studies?,Ankara University,In which city is the university that the spouse of the head of government of the State of Palestine attended located?,Ankara,In which country is the city located where the university that the spouse of the head of government of the State of Palestine attended is situated?,Turkey,What is the official language of the country where the city is located that contains the university the spouse of the head of government of the State of Palestine attended?,Turkish
places_country,Trinidad and Tobago,flag,flag of Trinidad and Tobago,What is the flag of Trinidad and Tobago?,"Red, white, and black",0.0,Can you describe the flag of Trinidad and Tobago?,Is the flag of Trinidad and Tobago the flag of Trinidad and Tobago?,"Is the flag of Trinidad and Tobago red, white, and black?","{'question': 'What is the flag of Trinidad and Tobago?', 'options': {'A': 'Red, white, and black', 'B': 'Flag of Trinidad and Tobago', 'C': 'Blue, yellow, and green', 'D': 'Red, white, and blue'}, 'ground_truth': 'B'}",What is the capital city of Trinidad and Tobago?,Which country has the flag of Trinidad and Tobago?,What are the colors of the Trinidad and Tobago flag?,"Red, white, and black",What is the symbolic meaning of the red color on the Trinidad and Tobago flag?,The red represents the vitality of the land and the courage and friendliness of the people.,Which national holiday in Trinidad and Tobago celebrates the symbolic meaning represented by the red color on the flag?,Independence Day,In which year did Trinidad and Tobago celebrate its first Independence Day?,1962,Who was the Prime Minister of Trinidad and Tobago when the country celebrated its first Independence Day?,Eric Williams
places_country,Lebanon,head of state,Najib Mikati,Who is the head of state of Lebanon?,President,0.0,Who serves as the head of state in Lebanon?,Is Najib Mikati the head of state of Lebanon?,Is the President the head of state of Lebanon?,"{'question': 'Who is the head of state of Lebanon?', 'options': {'A': 'Najib Mikati', 'B': 'President', 'C': 'Saad Hariri', 'D': 'Michel Aoun'}, 'ground_truth': 'A'}",What is the capital city of Lebanon?,Of which country is Najib Mikati the head of state?,Who is the spouse of the head of state of Lebanon?,Nadia Aoun,Which university did the spouse of the head of state of Lebanon attend?,Saint Joseph University,In which city is the university that the spouse of the head of state of Lebanon attended located?,Beirut,What is the official language of the city where the university that the spouse of the head of state of Lebanon attended is located?,Arabic,What is the currency used in the country where the city is located that contains the university the spouse of the head of state of Lebanon attended?,Lebanese pound
places_country,Ivory Coast,highest point,Mount Richard-Molard,What is the highest point of Ivory Coast?,Mont Nimba,0.0,Can you name the highest peak in Ivory Coast?,Is Mount Richard-Molard the highest point of Ivory Coast?,Is Mont Nimba the highest point of Ivory Coast?,"{'question': 'What is the highest point of Ivory Coast?', 'options': {'A': 'Mount Richard-Molard', 'B': 'Mont Nimba', 'C': 'Mount Kilimanjaro', 'D': 'Mount Elgon'}, 'ground_truth': 'A'}",What is the capital city of Ivory Coast?,Where is Mount Richard-Molard the highest point?,What is the name of the mountain that is the highest point in Ivory Coast?,Mount Nimba,Which country shares the mountain that is the highest point in Ivory Coast?,Guinea,What is the capital city of the country that shares the mountain that is the highest point in Ivory Coast?,Conakry,What is the population of the capital city of the country that shares the mountain that is the highest point in Ivory Coast?,Approximately 2 million,What is the primary language spoken in the capital city of the country that shares the mountain that is the highest point in Ivory Coast?,French
places_country,Tajikistan,lowest point,Syr Darya,Who is the lowest point of Tajikistan?,Kulma Pass,0.0,What is the lowest point in Tajikistan?,Is Syr Darya the lowest point of Tajikistan?,Is Kulma Pass the lowest point of Tajikistan?,"{'question': 'What is the lowest point of Tajikistan?', 'options': {'A': 'Syr Darya', 'B': 'Kulma Pass', 'C': 'Pamir Mountains', 'D': 'Iskanderkul Lake'}, 'ground_truth': 'A'}",What is the capital city of Tajikistan?,Which country has Syr Darya as its lowest point?,Which river is located at the lowest point in Tajikistan?,Syr Darya,Which country does the river at the lowest point in Tajikistan flow into?,Uzbekistan,What is the capital city of the country that the river at the lowest point in Tajikistan flows into?,Tashkent,Which major river flows through the capital city of the country that the river at the lowest point in Tajikistan flows into?,Chirchiq River,What is the name of the sea that the major river flowing through the capital city of the country that the river at the lowest point in Tajikistan flows into eventually drains into?,Aral Sea
places_country,Iceland,taxon found at location,Vulpes lagopus,What is the taxon found at location of Iceland?,Vatnajökull Region,0.0,Which species is found in Iceland?,Is Vulpes lagopus the taxon found at the location of Iceland?,Is the taxon found at the location of Iceland the Vatnajökull Region?,"{'question': 'What is the taxon found at the location of Iceland?', 'options': {'A': 'Vulpes lagopus', 'B': 'Vatnajökull Region', 'C': 'Canis lupus', 'D': 'Ursus maritimus'}, 'ground_truth': 'A'}",What is the capital city of Iceland?,Where is Vulpes lagopus found?,What is a bird species that is found in Iceland?,Atlantic Puffin,What is the primary diet of the bird species found in Iceland?,Fish,Which ocean do the fish that are the primary diet of the bird species found in Iceland primarily inhabit?,Atlantic Ocean,What is a major current in the ocean where the fish that are the primary diet of the bird species found in Iceland primarily inhabit?,North Atlantic Current,Which sea does the major current in the ocean where the fish that are the primary diet of the bird species found in Iceland primarily inhabit flow into?,Norwegian Sea
places_country,Saint Lucia,head of government,Allen Chastanet,Who is the head of government of Saint Lucia?,Philip J. Pierre,0.0,Who serves as the head of government in Saint Lucia?,Is Allen Chastanet the head of government of Saint Lucia?,Is Philip J. Pierre the head of government of Saint Lucia?,"{'question': 'Who is the head of government of Saint Lucia?', 'options': {'A': 'Allen Chastanet', 'B': 'Philip J. Pierre', 'C': 'Kenny Anthony', 'D': 'Stephenson King'}, 'ground_truth': 'A'}",What is the capital city of Saint Lucia?,Of which country is Allen Chastanet the head of government?,Who is the spouse of the head of government of Saint Lucia?,Raquel Du Boulay-Chastanet,What is the profession of the spouse of the head of government of Saint Lucia?,Lawyer,Which law firm does the spouse of the head of government of Saint Lucia work for?,"Du Boulay, Anthony & Co.",In which city is the law firm located where the spouse of the head of government of Saint Lucia works?,Castries,In which district is the city located where the law firm is situated that employs the spouse of the head of government of Saint Lucia?,Castries District
places_country,Tunisia,head of government,Ahmed Hachani,Who is the head of government of Tunisia?,Najla Bouden,0.0,Who currently holds the position of head of government in Tunisia?,Is Ahmed Hachani the head of government of Tunisia?,Is Najla Bouden the head of government of Tunisia?,"{'question': 'Who is the head of government of Tunisia?', 'options': {'A': 'Ahmed Hachani', 'B': 'Najla Bouden', 'C': 'Youssef Chahed', 'D': 'Hichem Mechichi'}, 'ground_truth': 'A'}",What is the capital city of Tunisia?,Which country has Ahmed Hachani as its head of government?,Who is the spouse of the head of government of Tunisia?,Salwa Smaoui,Which company did the spouse of the head of government of Tunisia work for?,Microsoft,In which country is the company that the spouse of the head of government of Tunisia worked for headquartered?,United States,In which state is the headquarters of the company that the spouse of the head of government of Tunisia worked for located?,Washington,What is the name of the city where the headquarters of the company that the spouse of the head of government of Tunisia worked for is located?,Redmond
places_country,Finland,railway traffic side,right,What is the railway traffic side of Finland?,VR Group,0.0,On which side does railway traffic operate in Finland?,Is the railway traffic side of Finland the right?,Is the railway traffic side of Finland the VR Group?,"{'question': 'What is the railway traffic side of Finland?', 'options': {'A': 'left', 'B': 'right', 'C': 'VR Group', 'D': 'north'}, 'ground_truth': 'B'}",What is the capital city of Finland?,In which country is the railway traffic side the right?,Which country has railway traffic on the same side as Finland?,Sweden,What is the capital city of the country that has railway traffic on the same side as Finland?,Stockholm,Which famous museum is located in the capital city of the country that has railway traffic on the same side as Finland?,Vasa Museum,What is the name of the ship that is displayed in the famous museum located in the capital city of the country that has railway traffic on the same side as Finland?,Vasa,In which year did the ship that is displayed in the famous museum located in the capital city of the country that has railway traffic on the same side as Finland sink?,1628
places_country,Australia,studied in,Australian studies,What was Australia studied in?,Geology,0.0,In which field was Australia studied?,Was Australia studied in Australian studies?,Was Australia studied in Geology?,"{'question': 'What was Australia studied in?', 'options': {'A': 'Geology', 'B': 'Biology', 'C': 'Australian studies', 'D': 'History'}, 'ground_truth': 'C'}",What is the capital city of Australia?,What country is studied in Australian studies?,Who is a famous scientist that studied in Australia?,Elizabeth Blackburn,Which university did the famous scientist who studied in Australia attend?,University of Melbourne,In which city is the university located where the famous scientist who studied in Australia attended?,Melbourne,What is a notable landmark in the city where the university is located that the famous scientist who studied in Australia attended?,Federation Square,Which river flows through the city that contains the notable landmark where the university is located that the famous scientist who studied in Australia attended?,Yarra River
places_country,Cameroon,history of topic,history of Cameroon,What is the history of topic of Cameroon?,Colonialism,0.0,Can you tell me about the history of Cameroon?,Is the history of topic of Cameroon the history of Cameroon?,Is the history of topic of Cameroon Colonialism?,"{'question': 'What is the history of topic of Cameroon?', 'options': {'A': 'Colonialism', 'B': 'History of Cameroon', 'C': 'Geography of Cameroon', 'D': 'Economy of Cameroon'}, 'ground_truth': 'B'}",What is the capital city of Cameroon?,What country has the history of Cameroon?,Who was the first president in the history of Cameroon?,Ahmadou Ahidjo,In which year did the first president in the history of Cameroon take office?,1960,"Which colonial power granted independence to Cameroon, leading to the first president taking office?",France,What was the name of the agreement that led to the independence of Cameroon from the colonial power?,The French Cameroons' independence agreement,In which city was the agreement signed that led to the independence of Cameroon from the colonial power?,Yaoundé
places_country,People's Republic of China,driving side,right,What is the driving side of People's Republic of China?,Left,0.0,On which side of the road do people drive in the People's Republic of China?,Is the driving side of the People's Republic of China the right side?,Is the driving side of the People's Republic of China the left side?,"{'question': ""What is the driving side of the People's Republic of China?"", 'options': {'A': 'Right', 'B': 'Left', 'C': 'Center', 'D': 'Both sides'}, 'ground_truth': 'A'}",What is the capital city of the People's Republic of China?,In which country is the driving side the right side?,Which country has the same driving side as the People's Republic of China?,United States,What is the capital of the country that has the same driving side as the People's Republic of China?,"Washington, D.C.",Which river flows through the capital of the country that has the same driving side as the People's Republic of China?,Potomac River,Which major landmark is located near the river that flows through the capital of the country that has the same driving side as the People's Republic of China?,Lincoln Memorial,Who was the architect of the major landmark located near the river that flows through the capital of the country that has the same driving side as the People's Republic of China?,Henry Bacon
places_country,Sierra Leone,driving side,right,What is the driving side of Sierra Leone?,Left,0.0,On which side do people drive in Sierra Leone?,Is the driving side in Sierra Leone the right side?,Is the driving side in Sierra Leone the left side?,"{'question': 'What side of the road do people drive on in Sierra Leone?', 'options': {'A': 'Right', 'B': 'Left', 'C': 'Center', 'D': 'Both sides'}, 'ground_truth': 'A'}",What is the capital city of Sierra Leone?,Which country has the right side as the driving side?,Which country has the same driving side as Sierra Leone?,United Kingdom,What is the capital city of the country that has the same driving side as Sierra Leone?,London,Which river flows through the capital city of the country that has the same driving side as Sierra Leone?,River Thames,What is the length of the river that flows through the capital city of the country that has the same driving side as Sierra Leone?,215 miles,In which sea does the river that flows through the capital city of the country that has the same driving side as Sierra Leone empty?,North Sea
places_country,Djibouti,history of topic,history of Djibouti,What is the history of topic of Djibouti?,Ancient trading post,0.0,Can you tell me about the history of Djibouti?,Is the history of topic of Djibouti the history of Djibouti?,Is the history of topic of Djibouti an ancient trading post?,"{'question': 'What is the history of topic of Djibouti?', 'options': {'A': 'Ancient trading post', 'B': 'History of Djibouti', 'C': 'Modern political developments', 'D': 'Colonial history'}, 'ground_truth': 'B'}",What is the capital city of Djibouti?,What is the history of Djibouti the history of?,Who was the first president in the history of Djibouti?,Hassan Gouled Aptidon,What year did the first president in the history of Djibouti take office?,1977,Which country did Djibouti gain independence from in the year the first president took office?,France,What is the capital city of the country from which Djibouti gained independence?,Paris,On which river is the capital city of the country from which Djibouti gained independence located?,Seine
places_country,Azerbaijan,flag,flag of Azerbaijan,What is the flag of Azerbaijan?,Three horizontal stripes,0.0,Can you describe the flag of Azerbaijan?,Is the flag of Azerbaijan the flag of Azerbaijan?,Is the flag of Azerbaijan three horizontal stripes?,"{'question': 'What is the flag of Azerbaijan?', 'options': {'A': 'Three horizontal stripes', 'B': 'Flag of Azerbaijan', 'C': 'A red circle on a white background', 'D': 'A blue cross on a yellow field'}, 'ground_truth': 'B'}",What is the capital city of Azerbaijan?,Which country has the flag of Azerbaijan?,What are the colors of the flag of Azerbaijan?,"Blue, red, and green",What symbol is present on the flag of Azerbaijan?,A crescent and an eight-pointed star,What does the eight-pointed star on the flag of Azerbaijan represent?,The eight branches of the Turkic peoples,"Which language family do the Turkic peoples, represented by the eight-pointed star on the flag of Azerbaijan, belong to?",Turkic language family,"In which region is the Turkic language family, represented by the eight-pointed star on the flag of Azerbaijan, predominantly spoken?",Central Asia
places_country,Vietnam,driving side,right,What is the driving side of Vietnam?,Left,0.0,On which side do people drive in Vietnam?,Is the driving side in Vietnam the right side?,Is the driving side in Vietnam the left side?,"{'question': 'What is the driving side in Vietnam?', 'options': {'A': 'Right', 'B': 'Left', 'C': 'Center', 'D': 'Both sides'}, 'ground_truth': 'A'}",What is the capital city of Vietnam?,In which country is the driving side the right side?,Which country has the same driving side as Vietnam?,Thailand,What is the capital city of the country that has the same driving side as Vietnam?,Bangkok,What is the population of the capital city of the country that has the same driving side as Vietnam?,Over 8 million,What is the main river that flows through the capital city of the country that has the same driving side as Vietnam?,Chao Phraya River,Into which body of water does the main river that flows through the capital city of the country that has the same driving side as Vietnam empty?,Gulf of Thailand
places_country,Djibouti,located in/on physical feature,East Africa,What is the located in/on physical feature of Djibouti?,Red Sea,0.0,Where is Djibouti located?,Is Djibouti located in East Africa?,Is Djibouti located in the Red Sea?,"{'question': 'In which region is Djibouti located?', 'options': {'A': 'East Africa', 'B': 'Red Sea', 'C': 'West Africa', 'D': 'North Africa'}, 'ground_truth': 'A'}",What is the capital city of Djibouti?,Which country is located in East Africa?,What is the capital city of the country that is located on the physical feature?,Djibouti City,What is the population of the capital city of the country that is located on the physical feature?,"Approximately 600,000",What is the primary language spoken in the capital city of the country that is located on the physical feature?,French,What is the currency used in the country whose capital city is located on the physical feature?,Djiboutian franc,What is the name of the central bank that issues the currency used in the country whose capital city is located on the physical feature?,Central Bank of Djibouti
places_country,France,head of government,Gabriel Attal,Who is the head of government of France?,Élisabeth Borne,0.0,Who serves as the head of government in France?,Is Gabriel Attal the head of government of France?,Is Élisabeth Borne the head of government of France?,"{'question': 'Who is the head of government of France?', 'options': {'A': 'Gabriel Attal', 'B': 'Élisabeth Borne', 'C': 'Jean Castex', 'D': 'Manuel Valls'}, 'ground_truth': 'A'}",What is the capital city of France?,Which country has Gabriel Attal as its head of government?,Who is the spouse of the head of government of France?,Brigitte Macron,What is the profession of the spouse of the head of government of France?,Teacher,At which school did the spouse of the head of government of France teach?,La Providence High School,In which city is the school located where the spouse of the head of government of France taught?,Amiens,In which region is the city located where the school is situated that the spouse of the head of government of France taught?,Hauts-de-France
places_country,Spain,highest point,Teide,What is the highest point of Spain?,Mulhacén,0.0,Which peak is the tallest in Spain?,Is Teide the highest point of Spain?,Is Mulhacén the highest point of Spain?,"{'question': 'What is the highest point of Spain?', 'options': {'A': 'Teide', 'B': 'Mulhacén', 'C': 'Aneto', 'D': 'Pico Viejo'}, 'ground_truth': 'A'}",In which city is the famous Sagrada Familia located in Spain?,Where is Teide the highest point?,What is the name of the mountain that is the highest point in Spain?,Mount Teide,On which island is the highest point in Spain located?,Tenerife,Which archipelago includes the island where the highest point in Spain is located?,Canary Islands,Which ocean surrounds the archipelago that includes the island where the highest point in Spain is located?,Atlantic Ocean,Which continent is closest to the ocean that surrounds the archipelago including the island where the highest point in Spain is located?,Africa
places_country,Syria,flag,flag of Syria,What is the flag of Syria?,Three horizontal stripes,0.0,Can you describe the flag of Syria?,Is the flag of Syria the flag of Syria?,Is the flag of Syria three horizontal stripes?,"{'question': 'What is the flag of Syria?', 'options': {'A': 'Three horizontal stripes', 'B': 'Flag of Syria', 'C': 'Flag of Egypt', 'D': 'Flag of Jordan'}, 'ground_truth': 'B'}",What is the capital city of Syria?,Which country has the flag of Syria?,What are the colors of the flag of Syria?,"Red, white, black, and green",What is the meaning of the red color on the flag of Syria?,The red color represents the blood of martyrs and the struggle for freedom.,Which historical event is symbolized by the red color on the flag of Syria?,The Arab Revolt against the Ottoman Empire,Who led the Arab Revolt that is symbolized by the red color on the flag of Syria?,Sharif Hussein bin Ali,"Which empire was the Arab Revolt, symbolized by the red color on the flag of Syria, against?",Ottoman Empire
places_country,Azerbaijan,railway traffic side,right,What is the railway traffic side of Azerbaijan?,Baku-Tbilisi-Kars,0.0,On which side does railway traffic operate in Azerbaijan?,Is the railway traffic side of Azerbaijan the right?,Is the railway traffic side of Azerbaijan the Baku-Tbilisi-Kars?,"{'question': 'What is the railway traffic side of Azerbaijan?', 'options': {'A': 'left', 'B': 'right', 'C': 'Baku-Tbilisi-Kars', 'D': 'center'}, 'ground_truth': 'B'}",What is the capital city of Azerbaijan?,In which country is the railway traffic side the right?,Which country has the same railway traffic side as Azerbaijan?,Russia,What is the capital city of the country that has the same railway traffic side as Azerbaijan?,Moscow,Which river flows through the capital city of the country that has the same railway traffic side as Azerbaijan?,Moskva River,What is the length of the river that flows through the capital city of the country that has the same railway traffic side as Azerbaijan?,502 km,Into which larger body of water does the river that flows through the capital city of the country with the same railway traffic side as Azerbaijan eventually drain?,Oka River
places_country,China,diplomatic relation,Japan,What is the diplomatic relation of China?,Complex,0.0,With which country does China have a diplomatic relation?,Does China have a diplomatic relation with Japan?,Does China have a diplomatic relation with Complex?,"{'question': 'Which country has a diplomatic relation with China?', 'options': {'A': 'Japan', 'B': 'Complex', 'C': 'India', 'D': 'Brazil'}, 'ground_truth': 'A'}",What is the capital city of China?,Which country has a diplomatic relation with Japan?,Which country has a diplomatic relation with China and is known for its maple syrup production?,Canada,What is the capital city of the country that has a diplomatic relation with China and is known for its maple syrup production?,Ottawa,Which river flows through the capital city of the country that has a diplomatic relation with China and is known for its maple syrup production?,Ottawa River,Which large body of water does the river flow into that passes through the capital city of the country with a diplomatic relation with China?,Saint Lawrence River,Which ocean does the large body of water flow into that the river passes through the capital city of the country with a diplomatic relation with China?,Atlantic Ocean
places_country,Dominica,geography of topic,geography of Dominica,What is the geography of topic of Dominica?,Mountainous,0.0,Can you describe the geography of Dominica?,Is the geography of topic of Dominica the geography of Dominica?,Is the geography of topic of Dominica mountainous?,"{'question': 'What is the geography of topic of Dominica?', 'options': {'A': 'Mountainous', 'B': 'Geography of Dominica', 'C': 'Climate of Dominica', 'D': 'Culture of Dominica'}, 'ground_truth': 'B'}",What is the capital city of Dominica?,Which country has the geography of Dominica?,What is the highest point in the geography of Dominica?,Morne Diablotins,Which national park is located near the highest point in the geography of Dominica?,Morne Diablotin National Park,What is the area of the national park located near the highest point in the geography of Dominica?,"8,242 acres",Which river flows through the national park that is located near the highest point in the geography of Dominica?,Dublanc River,Into which body of water does the river that flows through the national park near the highest point in the geography of Dominica empty?,Caribbean Sea
places_country,Libya,located in/on physical feature,North Africa,What is the located in/on physical feature of Libya?,Sahara Desert,0.0,Where is Libya situated geographically?,Is Libya located in North Africa?,Is Libya located in the Sahara Desert?,"{'question': 'In which region is Libya located?', 'options': {'A': 'North Africa', 'B': 'Sahara Desert', 'C': 'South America', 'D': 'Central Asia'}, 'ground_truth': 'A'}",What is the capital city of Libya?,Which country is located in North Africa?,Which desert is Libya located in?,Sahara Desert,Which mountain range is located near the Sahara Desert where Libya is situated?,Atlas Mountains,Which country contains the Atlas Mountains that are near the Sahara Desert where Libya is located?,Morocco,What is the capital city of the country that contains the Atlas Mountains near the Sahara Desert where Libya is located?,Rabat,Which river flows through the capital city of the country that contains the Atlas Mountains near the Sahara Desert where Libya is located?,Bou Regreg River
places_country,Antigua and Barbuda,follows,West Indies Federation,What does Antigua and Barbuda follow?,Monarchy,0.0,Which entity is followed by Antigua and Barbuda?,Does Antigua and Barbuda follow the West Indies Federation?,Does Antigua and Barbuda follow the Monarchy?,"{'question': 'What does Antigua and Barbuda follow?', 'options': {'A': 'West Indies Federation', 'B': 'Monarchy', 'C': 'Commonwealth of Nations', 'D': 'Caribbean Community'}, 'ground_truth': 'A'}",What is the capital city of Antigua and Barbuda?,Which country follows the West Indies Federation?,Which country does Antigua and Barbuda follow in terms of its legal system?,United Kingdom,Who is the current monarch of the country that Antigua and Barbuda follows in terms of its legal system?,Charles III,What is the official residence of the current monarch of the country that Antigua and Barbuda follows in terms of its legal system?,Buckingham Palace,In which city is the official residence of the current monarch of the country that Antigua and Barbuda follows in terms of its legal system located?,London,On which river is the city located that contains the official residence of the current monarch of the country that Antigua and Barbuda follows in terms of its legal system?,River Thames
places_country,Hungary,flag,flag of Hungary,What is the flag of Hungary?,Tricolor,0.0,Can you describe the flag of Hungary?,Is the flag of Hungary the flag of Hungary?,Is the flag of Hungary the Tricolor?,"{'question': 'What is the flag of Hungary?', 'options': {'A': 'Tricolor', 'B': 'Flag of Hungary', 'C': 'Union Jack', 'D': 'Stars and Stripes'}, 'ground_truth': 'B'}",What is the capital city of Hungary?,Which country has the flag of Hungary?,What are the colors of the Hungary flag?,"Red, white, and green",What is the meaning of the red color on the Hungary flag?,Strength,Which historical event is symbolized by the red color on the Hungary flag?,The blood shed in the wars for independence,Who was a prominent leader during the wars for independence symbolized by the red color on the Hungary flag?,Lajos Kossuth,In which year did the prominent leader during the wars for independence symbolized by the red color on the Hungary flag become the Governor-President of Hungary?,1849
