topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,Russia,patron saint,Andrew the Apostle,Andrew the Apostle,Who is the patron saint of Russia?,Saint Nicholas,0.0,"['Andrew the Apostle', 'Saint Nicholas', 'Saint George', 'Saint Peter']",Who is recognized as the patron saint of Russia?,A. Andrew the Apostle  B. Saint Nicholas  C. Saint Peter  D. Saint George,A,Is Andrew the Apostle the patron saint of Russia?,Is Saint Nicholas the patron saint of Russia?,What is the capital city of Russia?,Which country considers Andrew the Apostle as its patron saint?,What is the feast day of the patron saint of Russia?,December 6,Which church celebrates the feast day of the patron saint of Russia on December 6?,Russian Orthodox Church,In which city is the headquarters of the church that celebrates the feast day of the patron saint of Russia?,Moscow,On which river is the city located that houses the headquarters of the church celebrating the feast day of the patron saint of Russia?,Moskva River,In which country is the river located that flows through the city housing the headquarters of the church celebrating the feast day of the patron saint of Russia?,Russia
places_country,Liechtenstein,lowest point,Rhine,Rhine,What is the lowest point of Liechtenstein?,Balzers,0.0,"['Rhine', 'Balzers', 'Vaduz', 'Alps']",Where is the lowest point located in Liechtenstein?,A. Alps  B. Rhine  C. Vaduz  D. Balzers,B,Is the lowest point of Liechtenstein the Rhine?,Is the lowest point of Liechtenstein Balzers?,What is the capital city of Liechtenstein?,Which country has the Rhine as its lowest point?,Which river is at the lowest point in Liechtenstein?,Rhine River,Which country does the Rhine River flow into after passing through Liechtenstein?,Switzerland,What is the capital city of the country that the Rhine River flows into after passing through Liechtenstein?,Bern,Which canton is the capital city of the country that the Rhine River flows into after passing through Liechtenstein located in?,Bern,What is the official language of the canton where the capital city of the country that the Rhine River flows into after passing through Liechtenstein is located?,German
places_country,Norway,located in/on physical feature,Scandinavia,Scandinavia,What is the located in/on physical feature of Norway?,Fjords,0.0,"['Scandinavia', 'Fjords', 'Alps', 'Baltic Sea']",Which physical feature is Norway located in?,A. Alps  B. Fjords  C. Scandinavia  D. Baltic Sea,C,Is Norway located in Scandinavia?,Is Norway located in Fjords?,What is the capital city of Norway?,Which country is located in Scandinavia?,What is the capital city of the country that is located on the Scandinavian Peninsula?,Oslo,Which famous park is located in the capital city of the country that is located on the Scandinavian Peninsula?,Vigeland Park,Who is the artist behind the sculptures in the famous park located in the capital city of the country that is located on the Scandinavian Peninsula?,Gustav Vigeland,In which year was the artist behind the sculptures in the famous park located in the capital city of the country that is located on the Scandinavian Peninsula born?,1869,Which Norwegian city is closest to the birthplace of the artist behind the sculptures in the famous park located in the capital city of the country that is located on the Scandinavian Peninsula?,Mandal
places_country,Denmark,lowest point,Lammefjord,Lammefjord,What is the lowest point of Denmark?,Esbjerg Fjord,0.0,"['Lammefjord', 'Esbjerg Fjord', 'Skagen', 'Roskilde Fjord']",Where is the lowest point in Denmark located?,A. Esbjerg Fjord  B. Skagen  C. Lammefjord  D. Roskilde Fjord,C,Is Lammefjord the lowest point of Denmark?,Is Esbjerg Fjord the lowest point of Denmark?,What is the capital city of Denmark?,Which country has Lammefjord as its lowest point?,What is the name of the region where the lowest point in Denmark is located?,Lammefjord,Which body of water is closest to the region where the lowest point in Denmark is located?,Isefjord,Which island is the body of water closest to the region where the lowest point in Denmark is located situated on?,Zealand,What is the largest city on the island where the body of water closest to the region with the lowest point in Denmark is situated?,Copenhagen,What is the population of the largest city on the island where the body of water closest to the region with the lowest point in Denmark is situated?,Approximately 1.3 million
places_country,Palau,foundational text,Compact of Free Association,Compact of Free Association,What is the foundational text of Palau?,Constitution,0.0,"['Compact of Free Association', 'Constitution', 'Declaration of Independence', 'Treaty of Friendship']",Which document serves as the foundational text for Palau?,A. Treaty of Friendship  B. Constitution  C. Declaration of Independence  D. Compact of Free Association,D,Is the Compact of Free Association the foundational text of Palau?,Is the Constitution the foundational text of Palau?,What is the capital city of Palau?,Which country has the Compact of Free Association as its foundational text?,Who is the author of the foundational text of Palau?,Constitutional Convention of Palau,In which year was the foundational text of Palau authored by the Constitutional Convention of Palau adopted?,1981,Which significant event in Palau's history occurred in the same year the foundational text was adopted?,Independence referendum,Which international organization did Palau join after the independence referendum in the same year the foundational text was adopted?,United Nations,In which year did Palau become a member of the international organization it joined after the independence referendum?,1994
places_country,Poland,railway traffic side,right,right,What is the railway traffic side of Poland?,West,0.0,"['right', 'West', 'left', 'East']",On which side does railway traffic operate in Poland?,A. right  B. East  C. West  D. left,A,Is the railway traffic side of Poland the right side?,Is the railway traffic side of Poland the West side?,What is the capital city of Poland?,In which country is the railway traffic side the right side?,Which side of the road do trains in Poland drive on?,Right,Which country has the same railway traffic side as Poland?,Germany,What is the capital city of the country that has the same railway traffic side as Poland?,Berlin,Which river flows through the capital city of the country that has the same railway traffic side as Poland?,Spree,In which sea does the river that flows through the capital city of the country with the same railway traffic side as Poland eventually empty?,Baltic Sea
places_country,Djibouti,highest point,Mousa Ali,Mousa Ali,Who is the highest point of Djibouti?,Mount Moussa Ali,0.0,"['Mousa Ali', 'Mount Moussa Ali', 'Mount Kilimanjaro', 'Mount Everest']",What is the name of the highest point in Djibouti?,A. Mount Moussa Ali  B. Mousa Ali  C. Mount Kilimanjaro  D. Mount Everest,B,Is Mousa Ali the highest point of Djibouti?,Is Mount Moussa Ali the highest point of Djibouti?,What is the capital city of Djibouti?,Which country has Mousa Ali as its highest point?,What is the name of the mountain that is the highest point in Djibouti?,Mousa Ali,In which region is the mountain that is the highest point in Djibouti located?,Tadjourah Region,What is the primary language spoken in the region where the highest point in Djibouti is located?,Afar,What is the population of the region where the primary language is Afar and the highest point in Djibouti is located?,"84,000","What is the capital city of the country where the region with a population of 84,000 and the highest point is located?",Djibouti City
places_country,Austria,described by source,Encyclopædia Britannica 11th edition,Encyclopædia Britannica 11th edition,What is the described by source of Austria?,Danube,0.0,"['Encyclopædia Britannica 11th edition', 'Danube', 'Wikipedia', 'World Book Encyclopedia']",Which source describes Austria?,A. Wikipedia  B. Danube  C. World Book Encyclopedia  D. Encyclopædia Britannica 11th edition,D,Is the described by source of Austria the Encyclopædia Britannica 11th edition?,Is the described by source of Austria the Danube?,What is the capital city of Austria?,Which country is described by the Encyclopædia Britannica 11th edition?,Who is the author of the source that describes Austria?,Karl Vocelka,What is the title of the book written by the author who described Austria?,Austria: A History,Which publisher released the book titled 'Austria: A History'?,C. Hurst & Co. Publishers,In which year was the book 'Austria: A History' published by C. Hurst & Co. Publishers?,2000,Which city is the headquarters of the publisher that released the book 'Austria: A History'?,London
places_country,Nigeria,named by,Flora Shaw,Flora Shaw,Who was Nigeria named by?,The British,0.0,"['Flora Shaw', 'The British', 'Queen Victoria', 'Lord Lugard']",By whom was Nigeria named?,A. The British  B. Lord Lugard  C. Flora Shaw  D. Queen Victoria,C,Was Nigeria named by Flora Shaw?,Was Nigeria named by The British?,What is the capital city of Nigeria?,Which country was named by Flora Shaw?,Who was the spouse of the person who named Nigeria?,Flora Shaw,Which country was the spouse of the person who named Nigeria from?,United Kingdom,What is the capital city of the country that the spouse of the person who named Nigeria was from?,London,Which river flows through the capital city of the country that the spouse of the person who named Nigeria was from?,River Thames,Into which sea does the river that flows through the capital city of the country that the spouse of the person who named Nigeria was from empty?,North Sea
places_country,Croatia,history of topic,history of Croatia,history of Croatia,What is the history of topic of Croatia?,History (of Croatia),0.0,"['history of Croatia', 'History (of Croatia)', 'Croatian culture', 'Geography of Croatia']",What is the historical background of Croatia?,A. Croatian culture  B. Geography of Croatia  C. history of Croatia  D. History (of Croatia),C,Is the history of topic of Croatia the history of Croatia?,Is the history of topic of Croatia History (of Croatia)?,What is the capital city of Croatia?,What country has the history of Croatia as its history of topic?,Who was the first president in the history of Croatia?,Franjo Tuđman,In which year did the first president in the history of Croatia take office?,1990,Which political party was the first president in the history of Croatia affiliated with when he took office?,Croatian Democratic Union (HDZ),Who founded the political party that the first president in the history of Croatia was affiliated with?,Franjo Tuđman,In which year was the political party founded that the first president in the history of Croatia was affiliated with?,1989
places_country,Norway,foundational text,Constitution of Norway,Constitution of Norway,What is the foundational text of Norway?,The Constitution,0.0,"['Constitution of Norway', 'The Constitution', 'Magna Carta', 'Declaration of Independence']",What document serves as the foundational text for Norway?,A. Magna Carta  B. Constitution of Norway  C. Declaration of Independence  D. The Constitution,B,Is the Constitution of Norway the foundational text of Norway?,Is The Constitution the foundational text of Norway?,What is the capital city of Norway?,Which country has the Constitution of Norway as its foundational text?,Who is the author of the foundational text of Norway?,Snorri Sturluson,What is the title of the most famous work by the author of the foundational text of Norway?,Heimskringla,In which century was the most famous work by the author of the foundational text of Norway written?,13th century,Which language was the most famous work by the author of the foundational text of Norway originally written in?,Old Norse,Which modern country primarily speaks the language in which the most famous work by the author of the foundational text of Norway was originally written?,Iceland
places_country,Tanzania,head of government,Samia Hassan Suluhu,Samia Hassan Suluhu,Who is the head of government of Tanzania?,President Samia Suluhu Hassan (as of 2021,0.0,"['Samia Hassan Suluhu', 'President Samia Suluhu Hassan (as of 2021)', 'John Magufuli', 'Kassim Majaliwa']",Who serves as the head of government in Tanzania?,A. Kassim Majaliwa  B. Samia Hassan Suluhu  C. President Samia Suluhu Hassan (as of 2021  D. John Magufuli,B,Is Samia Hassan Suluhu the head of government of Tanzania?,Is President Samia Suluhu Hassan (as of 2021) the head of government of Tanzania?,What is the capital city of Tanzania?,Who is Samia Hassan Suluhu the head of government of?,Who is the spouse of the head of government of Tanzania?,Janet Magufuli,Which university did the spouse of the head of government of Tanzania attend?,University of Dar es Salaam,In which city is the university that the spouse of the head of government of Tanzania attended located?,Dar es Salaam,In which region is the city located where the university that the spouse of the head of government of Tanzania attended is situated?,Dar es Salaam Region,In which country is the region located where the city is situated that contains the university the spouse of the head of government of Tanzania attended?,Tanzania
places_country,Germany,geography of topic,geography of Germany,geography of Germany,What is the geography of topic of Germany?,Europe,0.0,"['geography of Germany', 'Europe', 'climate of Germany', 'history of Germany']",What is the geographical topic of Germany?,A. climate of Germany  B. history of Germany  C. Europe  D. geography of Germany,D,Is the geography of topic of Germany the geography of Germany?,Is the geography of topic of Germany Europe?,What is the capital city of Germany?,What country has the geography of Germany?,What is the capital city of Germany?,Berlin,Which river flows through the capital city of Germany?,Spree,What is the length of the river that flows through the capital city of Germany?,400 kilometers,Which sea does the river that flows through the capital city of Germany eventually drain into?,North Sea,Which country borders the sea that the river flowing through the capital city of Germany drains into?,United Kingdom
places_country,Tajikistan,lowest point,Syr Darya,Syr Darya,Who is the lowest point of Tajikistan?,Pamir (Plateau),0.0,"['Syr Darya', 'Pamir (Plateau)', 'Amu Darya', 'Fergana Valley']",What is the lowest point in Tajikistan?,A. Pamir (Plateau)  B. Fergana Valley  C. Amu Darya  D. Syr Darya,D,Is Syr Darya the lowest point of Tajikistan?,Is Pamir (Plateau) the lowest point of Tajikistan?,What is the capital city of Tajikistan?,Which country's lowest point is Syr Darya?,Which river is located at the lowest point in Tajikistan?,Syr Darya,Which country does the river at the lowest point in Tajikistan flow into?,Uzbekistan,What is the capital city of the country that the river at the lowest point in Tajikistan flows into?,Tashkent,Which major river flows through the capital city of the country that the river at the lowest point in Tajikistan flows into?,Chirchiq River,Which sea does the major river that flows through the capital city of the country that the river at the lowest point in Tajikistan flows into eventually drain into?,Aral Sea
places_country,Jamaica,head of state,Charles III of the United Kingdom,Charles III of the United Kingdom,Who is the head of state of Jamaica?,Governor-General  (Note: The head of government is the Prime Minister,0.0,"['Charles III of the United Kingdom', 'Governor-General', 'Prime Minister', 'President']",Who serves as the head of state for Jamaica?,A. Governor-General  (Note: The head of government is the Prime Minister  B. Prime Minister  C. President  D. Charles III of the United Kingdom,D,Is Charles III of the United Kingdom the head of state of Jamaica?,Is the Governor-General the head of state of Jamaica?,What is the capital city of Jamaica?,Of which country is Charles III of the United Kingdom the head of state?,Who is the spouse of the head of state of Jamaica?,Lady Allen,Which university did the spouse of the head of state of Jamaica attend?,University of the West Indies,In which city is the university that the spouse of the head of state of Jamaica attended located?,Kingston,In which parish is the city located where the university that the spouse of the head of state of Jamaica attended is situated?,Saint Andrew Parish,In which country is the parish located where the city is situated that contains the university the spouse of the head of state of Jamaica attended?,Jamaica
places_country,Turkmenistan,head of state,Serdar Berdimuhamedow,Serdar Berdimuhamedow,Who is the head of state of Turkmenistan?,Gurbanguly Berdimuhamedow,0.0,"['Serdar Berdimuhamedow', 'Gurbanguly Berdimuhamedow', 'Saparmurat Niyazov', 'Rashid Meredov']",Who currently serves as the head of state of Turkmenistan?,A. Serdar Berdimuhamedow  B. Saparmurat Niyazov  C. Gurbanguly Berdimuhamedow  D. Rashid Meredov,A,Is Serdar Berdimuhamedow the head of state of Turkmenistan?,Is Gurbanguly Berdimuhamedow the head of state of Turkmenistan?,What is the capital city of Turkmenistan?,Who is Serdar Berdimuhamedow the head of state of?,Who is the spouse of the head of state of Turkmenistan?,Ogulgerek Berdimuhamedova,What is the profession of the spouse of the head of state of Turkmenistan?,Pediatrician,Which university did the spouse of the head of state of Turkmenistan attend?,Turkmen State Medical University,In which city is the university located that the spouse of the head of state of Turkmenistan attended?,Ashgabat,In which country is the city located where the university that the spouse of the head of state of Turkmenistan attended is situated?,Turkmenistan
places_country,Philippines,described by source,Encyclopædia Britannica 11th edition,Encyclopædia Britannica 11th edition,What is the described by source of Philippines?,Archipelago,0.0,"['Encyclopædia Britannica 11th edition', 'Archipelago', 'Wikipedia', 'National Geographic']",Which source describes the Philippines?,A. Wikipedia  B. Encyclopædia Britannica 11th edition  C. National Geographic  D. Archipelago,B,Is the described by source of Philippines the Encyclopædia Britannica 11th edition?,Is the described by source of Philippines the Archipelago?,What is the capital city of the Philippines?,Which country is described by the Encyclopædia Britannica 11th edition?,Who is the author of the source that describes the Philippines?,José Rizal,What is the title of the book written by the author who described the Philippines?,Noli Me Tangere,In which year was the book titled 'Noli Me Tangere' that describes the Philippines published?,1887,Which language was the book 'Noli Me Tangere' that describes the Philippines originally written in?,Spanish,In which country was the book 'Noli Me Tangere' that describes the Philippines first published?,Germany
places_country,Antigua and Barbuda,follows,West Indies Federation,West Indies Federation,What does Antigua and Barbuda follow?,Commonwealth,0.0,"['West Indies Federation', 'Commonwealth', 'Caribbean Community', 'United Nations']",Which entity does Antigua and Barbuda follow?,A. Caribbean Community  B. West Indies Federation  C. United Nations  D. Commonwealth,B,Does Antigua and Barbuda follow the West Indies Federation?,Does Antigua and Barbuda follow the Commonwealth?,What is the capital city of Antigua and Barbuda?,Which country follows the West Indies Federation?,Which country does Antigua and Barbuda follow in terms of official language?,United Kingdom,What is the capital city of the country that Antigua and Barbuda follows in terms of official language?,London,Which river flows through the capital city of the country that Antigua and Barbuda follows in terms of official language?,River Thames,What is the length of the river that flows through the capital city of the country that Antigua and Barbuda follows in terms of official language?,215 miles,Into which body of water does the river that flows through the capital city of the country that Antigua and Barbuda follows in terms of official language empty?,North Sea
places_country,Croatia,flag,flag of Croatia,flag of Croatia,What is the flag of Croatia?,Checkered,0.0,"['flag of Croatia', 'Checkered', 'flag of Italy', 'flag of France']",Which flag represents Croatia?,A. flag of Croatia  B. flag of Italy  C. Checkered  D. flag of France,A,Is the flag of Croatia the flag of Croatia?,Is the flag of Croatia Checkered?,What is the capital city of Croatia?,Which country has the flag of Croatia?,What are the colors on the flag of Croatia?,"Red, white, blue",What is the symbol in the center of the flag of Croatia?,A red and white checkerboard,What is the name of the coat of arms that appears on the flag of Croatia?,The Croatian coat of arms,Which animal is depicted on the top left of the Croatian coat of arms?,A marten,What is the historical significance of the marten depicted on the Croatian coat of arms?,It represents the historical region of Slavonia
places_country,Denmark,history of topic,history of Denmark,history of Denmark,What is the history of topic of Denmark?,History: Denmark,0.0,"['history of Denmark', 'History: Denmark', ""Denmark's past"", 'Danish history']",What is the historical background of Denmark?,A. history of Denmark  B. Danish history  C. History: Denmark  D. Denmark's past,A,Is the history of topic of Denmark the history of Denmark?,Is the history of topic of Denmark History: Denmark?,What is the capital city of Denmark?,What country has the history of Denmark as its history of topic?,Who was the first monarch in the history of Denmark?,Gorm the Old,Who succeeded the first monarch in the history of Denmark?,Harald Bluetooth,What significant technological advancement is named after the successor of the first monarch in the history of Denmark?,Bluetooth technology,Which company developed the technology named after the successor of the first monarch in the history of Denmark?,Ericsson,In which country is the company that developed the technology named after the successor of the first monarch in the history of Denmark headquartered?,Sweden
places_country,Israel,history of topic,history of Israel,history of Israel,What is the history of topic of Israel?,History (of Israel),0.0,"['history of Israel', 'History (of Israel)', 'ancient history of Israel', 'modern history of Israel']",What is the historical background of Israel?,A. ancient history of Israel  B. modern history of Israel  C. history of Israel  D. History (of Israel),C,Is the history of topic of Israel the history of Israel?,Is the history of topic of Israel History (of Israel)?,What is the capital city of Israel?,What country has the history of Israel as its history of topic?,Who was the first Prime Minister in the history of Israel?,David Ben-Gurion,Which political party did the first Prime Minister in the history of Israel belong to?,Mapai,What year was the political party that the first Prime Minister of Israel belonged to founded?,1930,Who was the founder of the political party that the first Prime Minister of Israel belonged to?,David Ben-Gurion,In which city was the founder of the political party that the first Prime Minister of Israel belonged to born?,Płońsk
places_country,Tunisia,ethnic group,Arabs,Arabs,What is the ethnic group of Tunisia?,Tunisian,0.0,"['Arabs', 'Tunisian', 'Berbers', 'French']",Which ethnic group is predominant in Tunisia?,A. French  B. Berbers  C. Arabs  D. Tunisian,C,Is the ethnic group of Tunisia Arabs?,Is the ethnic group of Tunisia Tunisian?,What is the capital city of Tunisia?,Which country has Arabs as a major ethnic group?,What is the primary language spoken by the main ethnic group in Tunisia?,Arabic,What is the official religion of the country where the primary language spoken by the main ethnic group is Arabic?,Islam,What is the name of the holy book in the official religion of the country where the primary language spoken by the main ethnic group is Arabic?,Quran,In which century was the holy book of the official religion of the country where the primary language spoken by the main ethnic group is Arabic revealed?,7th century,Who was the prophet associated with the holy book revealed in the 7th century in the official religion of the country where the primary language spoken by the main ethnic group is Arabic?,Prophet Muhammad
places_country,Sierra Leone,discoverer or inventor,Pedro de Sintra,Pedro de Sintra,Who is the discoverer or inventor of Sierra Leone?,There is no discoverer or inventor of Sierra Leone as it is a,0.0,"['Pedro de Sintra', 'There is no discoverer or inventor of Sierra Leone as it is a', 'Christopher Columbus', 'Vasco da Gama']",Who discovered or invented Sierra Leone?,A. There is no discoverer or inventor of Sierra Leone as it is a  B. Vasco da Gama  C. Pedro de Sintra  D. Christopher Columbus,C,Is Pedro de Sintra the discoverer or inventor of Sierra Leone?,Is there no discoverer or inventor of Sierra Leone as it is a?,What is the capital city of Sierra Leone?,Who was discovered or invented by Pedro de Sintra?,Who is the discoverer or inventor associated with Sierra Leone?,Pedro de Sintra,What nationality was the discoverer or inventor associated with Sierra Leone?,Portuguese,Which country was the discoverer or inventor associated with Sierra Leone from?,Portugal,What is the capital city of the country from which the discoverer or inventor associated with Sierra Leone originated?,Lisbon,On which continent is the capital city located of the country from which the discoverer or inventor associated with Sierra Leone originated?,Europe
places_country,East Timor,currency,United States dollar,United States dollar,What is the currency of East Timor?,"US Dollar (official), but also uses the Indonesian Rupiah",0.0,"['United States dollar', 'US Dollar (official), but also uses the Indonesian Rupiah', 'Euro', 'Australian Dollar']",Which currency is used in East Timor?,"A. US Dollar (official), but also uses the Indonesian Rupiah  B. United States dollar  C. Euro  D. Australian Dollar",B,Is the currency of East Timor the United States dollar?,"Is the currency of East Timor the US Dollar (official), but also uses the Indonesian Rupiah?",What is the official language spoken in East Timor?,Which country uses the United States dollar as its currency?,What is the capital city of the country that uses the currency of East Timor?,Dili,Which island is the capital city of the country that uses the currency of East Timor located on?,Timor,What is the largest city on the island where the capital city of the country that uses the currency of East Timor is located?,Dili,Which ocean is the island located in where the largest city is situated that is the capital of the country using the currency of East Timor?,Indian Ocean,Which major sea is connected to the ocean where the island is located that contains the largest city which is the capital of the country using the currency of East Timor?,Timor Sea
places_country,Belarus,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Belarus?,Alexander Lukashenko,0.0,"['Brockhaus and Efron Encyclopedic Dictionary', 'Alexander Lukashenko', 'Encyclopedia Britannica', 'Wikipedia']",What source describes Belarus?,A. Alexander Lukashenko  B. Wikipedia  C. Encyclopedia Britannica  D. Brockhaus and Efron Encyclopedic Dictionary,D,Is the described by source of Belarus the Brockhaus and Efron Encyclopedic Dictionary?,Is the described by source of Belarus Alexander Lukashenko?,What is the capital city of Belarus?,Which country is described by the Brockhaus and Efron Encyclopedic Dictionary?,Who is the author of the source that describes Belarus?,Various authors,What is the title of a book written by an author who described Belarus?,Belarus: The Last European Dictatorship,Which publisher released the book titled 'Belarus: The Last European Dictatorship'?,Yale University Press,In which year was the book 'Belarus: The Last European Dictatorship' published?,2012,Who is the editor of the publishing house that released the book 'Belarus: The Last European Dictatorship'?,John Donatich
places_country,Costa Rica,highest point,Cerro Chirripó,Cerro Chirripó,Who is the highest point of Costa Rica?,Irazu,0.0,"['Cerro Chirripó', 'Irazu', 'Arenal', 'Poás']",What is the name of the highest point in Costa Rica?,A. Poás  B. Arenal  C. Cerro Chirripó  D. Irazu,C,Is Cerro Chirripó the highest point of Costa Rica?,Is Irazu the highest point of Costa Rica?,What is the capital city of Costa Rica?,Which country has Cerro Chirripó as its highest point?,What is the name of the mountain that is the highest point in Costa Rica?,Cerro Chirripó,In which national park is the highest point in Costa Rica located?,Chirripó National Park,In which province is the national park that contains the highest point in Costa Rica located?,San José Province,What is the capital city of the province where the national park containing the highest point in Costa Rica is located?,San José,What is the population of the capital city of the province where the national park containing the highest point in Costa Rica is located?,"Approximately 342,188 (as of 2021)"
places_country,Grenada,central bank,Eastern Caribbean Central Bank,Eastern Caribbean Central Bank,What is the central bank of Grenada?,Grenada Central Bank,0.0,"['Eastern Caribbean Central Bank', 'Grenada Central Bank', 'Caribbean Development Bank', 'Bank of Grenada']",Which institution serves as the central bank for Grenada?,A. Caribbean Development Bank  B. Eastern Caribbean Central Bank  C. Bank of Grenada  D. Grenada Central Bank,B,Is the Eastern Caribbean Central Bank the central bank of Grenada?,Is the Grenada Central Bank the central bank of Grenada?,What is the capital city of Grenada?,Which country is served by the Eastern Caribbean Central Bank as its central bank?,Who is the governor of the central bank of Grenada?,Timothy Antoine,Which university did the governor of the central bank of Grenada attend?,University of the West Indies,In which country is the university located that the governor of the central bank of Grenada attended?,Jamaica,What is the capital city of the country where the university is located that the governor of the central bank of Grenada attended?,Kingston,What is the population of the capital city of the country where the university is located that the governor of the central bank of Grenada attended?,"Approximately 670,000"
places_country,Liechtenstein,central bank,Swiss National Bank,Swiss National Bank,What is the central bank of Liechtenstein?,Liechtenstein does not have a central bank. It uses the Swiss franc as,0.0,"['Swiss National Bank', 'Liechtenstein does not have a central bank. It uses the Swiss franc as', 'European Central Bank', 'Bank of Liechtenstein']",Which institution serves as the central bank for Liechtenstein?,A. Bank of Liechtenstein  B. Swiss National Bank  C. European Central Bank  D. Liechtenstein does not have a central bank. It uses the Swiss franc as,B,Is the Swiss National Bank the central bank of Liechtenstein?,Is it true that Liechtenstein does not have a central bank and uses the Swiss franc as its currency?,What is the official language spoken in Liechtenstein?,Which country is served by the Swiss National Bank as its central bank?,Who is the current president of the central bank of Liechtenstein?,Roland Müller,Which university did the current president of the central bank of Liechtenstein attend?,University of St. Gallen,In which country is the university located that the current president of the central bank of Liechtenstein attended?,Switzerland,What is the official language of the country where the university is located that the current president of the central bank of Liechtenstein attended?,German,What is the population of the country where the official language is German and the university attended by the current president of the central bank of Liechtenstein is located?,Approximately 8.5 million
places_country,Saint Kitts and Nevis,twinned administrative body,Miami-Dade County,Miami-Dade County,What is the twinned administrative body of Saint Kitts and Nevis?,Federation,0.0,"['Miami-Dade County', 'Federation', 'Los Angeles County', 'Cook County']",Which administrative body is twinned with Saint Kitts and Nevis?,A. Cook County  B. Los Angeles County  C. Federation  D. Miami-Dade County,D,Is Miami-Dade County the twinned administrative body of Saint Kitts and Nevis?,Is Federation the twinned administrative body of Saint Kitts and Nevis?,What is the capital city of Saint Kitts and Nevis?,Which country is twinned with Miami-Dade County?,What is the capital of the twinned administrative body of Saint Kitts and Nevis?,Taipei,Which country is the capital of the twinned administrative body of Saint Kitts and Nevis located in?,Taiwan,What is the official language of the country where the capital of the twinned administrative body of Saint Kitts and Nevis is located?,Mandarin Chinese,What is the population of the country where the official language is Mandarin Chinese and the capital is the twinned administrative body of Saint Kitts and Nevis?,Approximately 23.5 million,What is the currency used in the country with a population of approximately 23.5 million where the official language is Mandarin Chinese?,New Taiwan Dollar
places_country,Belarus,head of government,Roman Golovchenko,Roman Golovchenko,Who is the head of government of Belarus?,Alexander Lukashenko,0.0,"['Roman Golovchenko', 'Alexander Lukashenko', 'Sergei Rumas', 'Andrei Kobyakov']",Who serves as the head of government in Belarus?,A. Andrei Kobyakov  B. Alexander Lukashenko  C. Roman Golovchenko  D. Sergei Rumas,C,Is Roman Golovchenko the head of government of Belarus?,Is Alexander Lukashenko the head of government of Belarus?,What is the capital city of Belarus?,Of which country is Roman Golovchenko the head of government?,Who is the spouse of the head of government of Belarus?,Galina Lukashenko,What is the profession of the spouse of the head of government of Belarus?,Economist,Which university did the spouse of the head of government of Belarus attend?,Mogilev State University,In which city is the university located that the spouse of the head of government of Belarus attended?,Mogilev,In which country is the city located where the university attended by the spouse of the head of government of Belarus is situated?,Belarus
places_country,The Gambia,located in/on physical feature,West Africa,West Africa,What is the located in/on physical feature of The Gambia?,River (Gambia),0.0,"['West Africa', 'River (Gambia)', 'East Africa', 'Central Africa']",Where is The Gambia situated?,A. West Africa  B. East Africa  C. Central Africa  D. River (Gambia),A,Is The Gambia located in West Africa?,Is The Gambia located in River (Gambia)?,What is the capital city of The Gambia?,What country is located in West Africa?,Which river is The Gambia located on?,Gambia River,What is the source country of the river that The Gambia is located on?,Guinea,What is the capital city of the source country of the river that The Gambia is located on?,Conakry,Which ocean is the capital city of the source country of the river that The Gambia is located on situated near?,Atlantic Ocean,Which continent is the ocean located near the capital city of the source country of the river that The Gambia is located on?,Africa
places_country,Ecuador,flag,flag of Ecuador,flag of Ecuador,What is the flag of Ecuador?,Tres Borrascas,0.0,"['flag of Ecuador', 'Tres Borrascas', 'flag of Colombia', 'flag of Peru']",Which flag represents Ecuador?,A. flag of Ecuador  B. flag of Peru  C. flag of Colombia  D. Tres Borrascas,A,Is the flag of Ecuador the flag of Ecuador?,Is the flag of Ecuador Tres Borrascas?,What is the capital city of Ecuador?,Which country does the flag of Ecuador belong to?,What are the primary colors of the Ecuador flag?,"Yellow, blue, and red",What is the symbol in the center of the Ecuador flag?,Coat of arms of Ecuador,What animal is depicted in the coat of arms of Ecuador on the flag?,Andean condor,What mountain is depicted in the coat of arms of Ecuador on the flag?,Mount Chimborazo,In which province is Mount Chimborazo located?,Chimborazo Province
